name,aka,page_start,page_end,row_count,chars_count,ks.,firstlast,dob
Antti-setä,"ks. Louhivuori, Werneri",22,22,1,23,1,Antti-setä,
"Appelberg, Gustav Bertel",,22,22,18,769,0,Gustav Bertel Appelberg,11.7.1890
"Appelgren, Anne-Marie","ks. Hartman, May",22,22,1,16,1,Anne-Marie Appelgren,
Arijoutsi,Heikki Sakari Marttila,22,23,108,4172,0,Arijoutsi,1.9.1915
"Arne, Leo","ks. Waltari, Mika",23,23,1,17,1,Leo Arne,
"Arni, Annikki","Annikki Aarni, Marja-Leena",23,24,47,1724,0,Annikki Arni,23.9.1898
"An», Toivo J.",,24,24,4,126,0,Toivo J. An»,
"Arohonka, Eino","ks. Honka, Aaro",24,24,1,15,1,Eino Arohonka,
"Arota, Aliina","ks. Somero, Aili",24,24,1,16,1,Aliina Arota,
"Aronaho, Impi Fatima",,24,24,10,381,0,Impi Fatima Aronaho,
"Aropakkanen, Maikko",,24,24,4,139,0,Maikko Aropakkanen,
"Arra, Lauri",,24,24,9,377,0,Lauri Arra,7.8.1886
"Arras, Reino","ks. Nuorvala, Kaarlo",24,24,1,20,1,Reino Arras,
"Arsti, Santeri",Arvo Hursti,24,24,3,104,0,Santeri Arsti,
"Arti, V.","Veera Arti, A. Kahva, K.V. Vesala; Kaarlo Väinö Valve, v:een 1919 Vesala",24,25,80,3132,0,V. Arti,4.9.1885
A-son med ögat,Fredrik Alexander Valros,25,25,20,857,0,A-son med ögat,9.10.1887
"Asra, Preston","ks. Nuorto, Olli",25,25,1,16,1,Preston Asra,
"Aster, Dan","ks. Larni, Martti",25,25,1,17,1,Dan Aster,
Asto,"ks. Siniluoto, Aili",25,25,1,19,1,Asto,
"Aston, Denys","A.I.R., Merete Bendix, Ursula Cooper,; Senja Saar, Gordon Swing, Vie Wallis,; Mary Warren, Magda Werner; Anna Inkeri Relander",25,26,125,4606,0,Denys Aston,
"Asunta, Uuno Taavi Heikki",Heiska-setä,26,27,115,4812,0,Uuno Taavi Heikki Asunta,25.6.1904
"Auer, Eino Hannes",Solmu,27,28,58,2140,0,Eino Hannes Auer,31.5.1898
"Auermaa (Brusila), Artturi",,28,28,1,46,0,Artturi Auermaa (Brusila),
"Auterinen, Maijaliisa",,28,28,54,2027,0,Maijaliisa Auterinen,18.5.1909
"Autiala, Raili",Katri Lyyli Maria Lahtinen,28,28,17,640,0,Raili Autiala,17.12.1906
"Autio, Toini","ks. Aaltonen, Toini",28,28,1,19,1,Toini Autio,
"Auvinen, Lauri",,28,29,4,110,0,Lauri Auvinen,
"Avarto, Helini","ks. Vihne, Helmi",29,29,2,17,1,Helini Avarto,
"Backman-Dahlgren, Greta Alexandra",,29,29,6,246,0,Greta Alexandra Backman-Dahlgren,29.10.1909
"Bagge, Ruth",Anna HoffStröm,29,29,4,131,0,Ruth Bagge,
"Bahne, Björn Eric",,29,29,19,861,0,Björn Eric Bahne,15.6.1895
Bakkus,"ks. Korpela, T.J.",29,29,1,17,1,Bakkus,
"Barck, P.O.",Per Olov Fredrik Barck,29,30,55,2251,0,P.O. Barck,1.5.1912
Beau Geste,"ks. Hemdal, Dag",30,30,1,15,1,Beau Geste,
"Bendix, Merete","ks. Aston, Denys",30,30,1,16,1,Merete Bendix,
"Berg, Gun-Lice","ks. Strandberg, Gun",30,30,1,19,1,Gun-Lice Berg,
"Berg, Pia",Pi Berg; Ida Maria Berg-Mycklebust,30,30,11,407,0,Pia Berg,13.7.1900
"Bergholm, Katri",ks. Isoäiti,30,30,1,11,1,Katri Bergholm,
"Berg-Mycklebust, Ida Maria","ks. Berg, Pi",30,30,1,12,1,Ida Maria Berg-Mycklebust,
"Bergstrand, Ulla","ks. Strandberg, Gun",30,30,1,19,1,Ulla Bergstrand,
"Berndtson, Hans Fredrik",,30,30,7,283,0,Hans Fredrik Berndtson,22.5.1893
"Bertel, Roine",,30,30,7,285,0,Roine Bertel,
"Berts, Edvard",,30,30,17,695,0,Edvard Berts,27.12.1891
"Beyrath, Ola",Olga Wilhelmina Beyrath,30,30,11,408,0,Ola Beyrath,
"Beyrath, Olga","ks. Beyrath, Ola",30,30,1,16,1,Olga Beyrath,
"Beyrone, Alec de","ks. Hemdal, Dag",30,31,2,41,1,Alec de Beyrone,
"Biaudet, Aisa",,31,31,2,91,0,Aisa Biaudet,
"Biaudet, Ulla","ks. Bjerne, Ulla",31,31,1,16,1,Ulla Biaudet,
"Bjerne, Ulla","Lars Doll, Ali Frost; Gully Cecilia Biaudet",31,31,100,4281,0,Ulla Bjerne,3.1.1890
"Björk, Eino Karl Ragnar",,31,32,20,768,0,Eino Karl Ragnar Björk,19.3.1885
"Björkbom-Bäckman, Ebba",Ebba Öflund,32,32,15,586,0,Ebba Björkbom-Bäckman,26.10.1904
"Björkenheim, Edvard Magnus Immanuel",,32,32,27,1152,0,Edvard Magnus Immanuel Björkenheim,16.3.1899
"Björkman, Dora",,32,32,2,101,0,Dora Björkman,
"Björkman, Evy Mathilda",,32,32,13,519,0,Evy Mathilda Björkman,24.5.1876
"Björling, Gunnar Olof",,32,34,181,7962,0,Gunnar Olof Björling,31.5.1887
"Bleke, Ivar","ks. Tollet, Hakan",34,34,1,17,1,Ivar Bleke,
"Blomqvist, Arlex",,34,34,4,146,0,Arlex Blomqvist,24.2.1898
"Bläfield, Lydia","ks. Sinikka, Aini",34,34,1,17,1,Lydia Bläfield,
"Boman, Sigurd Alexander",,34,34,17,636,0,Sigurd Alexander Boman,3.11.1879
"Bondestam, Anna Karolina",,34,35,187,7827,0,Anna Karolina Bondestam,1.4.1907
"Borg, Gustaf",ks. G.B.,35,36,2,40,1,Gustaf Borg,
"Borgmästars, Albert",,36,36,1,28,0,Albert Borgmästars,
"Born, Elsa Maria von",,36,36,38,1566,0,Elsa Maria von Born,20.6.1879
"Boström, Lars M.",Lars Mikael Boström,36,36,9,304,0,Lars M. Boström,4.11.1920
"Boström, Peppi",Paraskewa Boström,36,36,9,374,0,Peppi Boström,8.1.1895
"Botvidsson, Än",Anton Fredrik Westerberg,36,36,7,281,0,Än Botvidsson,18.7.1888
"Bracciano, Poggio","ks. Finell, Ole",36,36,1,15,1,Poggio Bracciano,
"Bray, Jean","ks. Donner, Olly",36,36,1,16,1,Jean Bray,
"Brenner, Alf Martin",Clas Alfrid Broman,36,37,55,2226,0,Alf Martin Brenner,27.12.1895
"Broman, Clas Alfrid","ks. Brenner, Alf Martin",37,37,1,23,1,Clas Alfrid Broman,
"Brotherus, Aune Liisa Inkeri",,37,38,97,3515,0,Aune Liisa Inkeri Brotherus,7.4.1899
Brummel & C:o,Brummel & Bläckström; Georg Henrik Theslöf,38,38,38,1498,0,Brummel & C:o,23.1.1880
Brummel & Bläckström,ks. Brummel & C:o,38,38,1,17,1,Brummel & Bläckström,
"Brunila, Kai",ks. Cab,38,38,1,7,1,Kai Brunila,
"Bruse, Elin",Elin Elisabeth Bruse-Gustavsson,38,38,19,774,0,Elin Bruse,6.10.1883
"Bruse-Gustavsson, Elin","ks. Bruse, Elin",38,38,1,15,1,Elin Bruse-Gustavsson,
"Bruun, Hanna","ks. Tara, Suoma",38,38,1,15,1,Hanna Bruun,
Bröderna Grymm,"ks. Clement, Gunnar",38,39,2,48,1,Bröderna Grymm,
"Burman, Johan Wilhelm","W. Burman, Gnaggabölon",39,39,18,684,0,Johan Wilhelm Burman,20.6.1897
"Bäckman, Grete",Grete Magdalena Bäckman-Ramsten,39,39,7,277,0,Grete Bäckman,12.2.1923
"Böök, A. Th.",Albert Theodor Böök,39,39,16,571,0,A. Th. Böök,8.6.1858
Cab,Kai Daniel Brunila,39,39,45,1886,0,Cab,3.4.1919
"Candolin, Aili","ks. Somersalo, Aili",39,39,1,19,1,Aili Candolin,
"Cannelin, Helle","ks. Kannila, Helle",39,40,2,46,1,Helle Cannelin,
"Castren, Göran",,40,40,1,47,0,Göran Castren,
"Castren, Liisa",,40,40,17,701,0,Liisa Castren,16.3.1899
"Cawén, Lisa",Lisi Eleonora Heikkinen,40,40,30,1110,0,Lisa Cawén,22.5.1899
"Cederberg, Eino","ks. Saarenmaa, Erkki",40,40,1,20,1,Eino Cederberg,
"Cedercreutz, Emi) Herman Robert",,40,40,37,1507,0,Emi) Herman Robert Cedercreutz,16.5.1879
"Chang, Charles","ks. Nuorvala, Kaarlo",40,40,1,20,1,Charles Chang,
"Chorell, Walentin",,40,43,349,13250,0,Walentin Chorell,8.4.1912
"Clement, Gunnar Theodor","Bröderna Grymm, Gunthar,; Rupert Wolfgang A. Gustafsson",43,43,34,1219,0,Gunnar Theodor Clement,27.3.1906
"Colliander, B.E.","Colliander, Börje Erland",43,44,37,1474,0,B.E. Colliander,17.4.1909
"Colliander, Börje","ks. Colliander, B.E.",44,44,1,20,1,Börje Colliander,
"Colliander, Fritiof Tito",,44,46,287,12189,0,Fritiof Tito Colliander,10.2.1904
"Condu, Evald",,46,46,6,234,0,Evald Condu,
"Cooper, Ursula","ks. Aston, Denys",46,46,1,16,1,Ursula Cooper,
"Cronström, Runa Boel Marianne",,46,46,13,428,0,Runa Boel Marianne Cronström,27.3.1915
"Dahl, Hjalmar Karl Emil",,46,47,132,5256,0,Hjalmar Karl Emil Dahl,15.5.1891
"Dahl, Lars Hjalmarsson",,47,48,39,1656,0,Lars Hjalmarsson Dahl,20.7.1920
"Dahlberg, Erik","Flynn Everett, Erkki Karhunkuru",48,48,54,2113,0,Erik Dahlberg,29.1.1892
"Dahlström, Svante",ks. Pere Noble,48,48,1,14,1,Svante Dahlström,
"Danielsson, Olga Exilia",,48,48,5,200,0,Olga Exilia Danielsson,7.9.1889
"Davidsson, Martti",,48,48,3,90,0,Martti Davidsson,
"Davis, Rex","ks. Linnus, Olavi",48,48,1,17,1,Rex Davis,
"Dennic, Gil","ks. Linnus, Olavi",48,49,2,47,1,Gil Dennic,
"Dickman, Otto",Otto Isak Andersson,49,49,8,286,0,Otto Dickman,10.4.1881
"Diktonius, Elmer Rafael",,49,51,273,12221,0,Elmer Rafael Diktonius,20.1.1896
"Doll, Lars","ks. Bjerne, Ulla",51,51,1,16,1,Lars Doll,
Donna Monica,"ks. Salla, Aino",51,51,1,15,1,Donna Monica,
"Donner, Kai",Karl Reinhold Donner,51,52,91,3754,0,Kai Donner,1.4.1888
"Donner, Olly","Jean Bray, Olly",52,52,69,2566,0,Olly Donner,28.9.1881
dr Per Nelson,"ks. Wallenius, Allan",52,52,1,20,1,dr Per Nelson,
"Dugan, Max","ks. Nuorvala, Kaarlo",52,52,1,20,1,Max Dugan,
"Duncker, Marita",Marita Wilhelmina Honkanen,52,52,22,868,0,Marita Duncker,26.5.1903
"Dupois, Charles","ks. Nuorvala, Kaarlo",52,52,1,20,1,Charles Dupois,
"Durac, Pierre Gaston","ks. Leistilä, Topo",52,53,2,55,1,Pierre Gaston Durac,
E.H.,"ks. Soini, Elsa",53,53,1,15,1,E.H.,
E. K-n,"ks. Kihlman, Erik",53,53,1,17,1,E. K-n,
"Edelfelt, Berta Carolina",,53,53,22,860,0,Berta Carolina Edelfelt,7.3.1869
"Edholm, Abrah.",Abraham Edholm,53,53,6,192,0,Abrah. Edholm,19.12.1879
"Ehrnrooth, Kerstin Ulrika",Ulli Ehrnrooth-Forsten; Kerstin Ulrika Forsten,53,53,22,877,0,Kerstin Ulrika Ehrnrooth,10.11.1906
"Ehrnrooth, Leo Reinhold",Lim-Erik,53,53,17,698,0,Leo Reinhold Ehrnrooth,10.3.1877
"Ehrnrooth-Forsten, Ulli","ks. Ehrnrooth, Kerstin Ulrika",53,53,1,29,1,Ulli Ehrnrooth-Forsten,
"Ehrström, Monica","ks. Leo, Mona",53,53,1,13,1,Monica Ehrström,
"Ehrström-Enckell, Monica","ks. Leo, Mona",53,54,2,40,1,Monica Ehrström-Enckell,
"Einola, Ahti H.","ks. Ahti, Eino H.",54,54,1,17,1,Ahti H. Einola,
"Ekelund, Erik Runar Selim",,54,54,45,1899,0,Erik Runar Selim Ekelund,24.1.1897
"Ekhammar, Hugo Johannes",v:een 1930 Ekholm,54,54,26,1082,0,Hugo Johannes Ekhammar,24.1.1880
"Ekholm, Hugo J.","ks. Ekhammar, Hugo J.",54,54,1,21,1,Hugo J. Ekholm,
"Ekholm, Ulla",Eyvor Ulla Christina Lindfors,54,54,6,251,0,Ulla Ekholm,15.6.1924
"Eklund, Ole Arthur",,54,55,60,2454,0,Ole Arthur Eklund,11.3.1899
"Eklund, R.R.",Ragnar Rudolf Eklund,55,56,112,5016,0,R.R. Eklund,21.4.1895
"Ekman, Karl",,56,56,75,2969,0,Karl Ekman,29.9.1895
"Ek-Noponen, Oma","ks. Tavi, Anja",56,56,1,14,1,Oma Ek-Noponen,
"Ekström, A.H.F","ks. Hassan, Abu",56,57,2,43,1,A.H.F Ekström,
"Elenius, Edward",,57,57,28,1162,0,Edward Elenius,1.6.1881
"Elenius, Anton Emil",,57,57,37,1531,0,Anton Emil Elenius,16.9.1877
"Elfgren, Liv","ks. Tegengren, Liv",57,57,1,18,1,Liv Elfgren,
"Elg, Karin",K.E.; Natalia Katarina Elg,57,57,17,627,0,Karin Elg,20.9.1881
"Elimäki, Lauri",,57,58,28,1129,0,Lauri Elimäki,12.10.1900
"Ellilä, E.J.",Eino Johannes Ellilä,58,58,92,3768,0,E.J. Ellilä,10.6.1892
"Elmgren, Tuomi","Ks. Elmgren-Heinonen, Tuomi",58,58,1,27,1,Tuomi Elmgren,
"Elmgren-Heinonen, Tuomi Kaarina",Tuomi Elmgren,58,59,71,2674,0,Tuomi Kaarina Elmgren-Heinonen,5.2.1903
"Elomaa, Vilho",,59,59,33,1341,0,Vilho Elomaa,
"Enckell, Heidi","ks. Parland, Heidi",59,59,1,18,1,Heidi Enckell,
"Enckell, Liv","ks. Tegengren, Liv",59,59,1,18,1,Liv Enckell,
"Enckell, Olof Wilhelm Toussaint",,59,61,157,6747,0,Olof Wilhelm Toussaint Enckell,12.3.1900
"Enckell, Rabbe Arnfinn",,61,63,290,13045,0,Rabbe Arnfinn Enckell,3.3.1903
"Enehjelm, Alexis Gustav Maximilian af",,63,63,19,807,0,Alexis Gustav Maximilian af Enehjelm,2.10.1886
"Enehjelm, Helen Margaret Mary af",,63,64,94,3857,0,Helen Margaret Mary af Enehjelm,9.4.1909
"Engblom, Ossian","ks. Jones, O.",64,64,1,13,1,Ossian Engblom,
"Engelberg, A.J.","ks. Erävaara, Aarne",64,64,1,19,1,A.J. Engelberg,
"Engström, T.A.","Seppo Ilmari, Dicky King; Toivo Armas Engström",64,65,159,6255,0,T.A. Engström,1.8.1917
"Enkvist, Ludvig","ks. Enswiss, Ludvig",65,65,1,19,1,Ludvig Enkvist,
"Ennala, Atte","Adrian Ennala, v:een 1935 Ekman",65,66,40,1387,0,Atte Ennala,6.9.1891
"Enner, Lasse","ks. Hällström, Raoul af",66,66,1,23,1,Lasse Enner,
Eno,"ks. Lehtonen, Ensio",66,66,1,19,1,Eno,
Ensio-setä,"ks. Lehtonen, Ensio",66,66,1,19,1,Ensio-setä,
"Enswiss, Ludvig",Karl Ludvig Enkvist,66,66,11,454,0,Ludvig Enswiss,6.7.1856
"Enäjärvi-Haavio, Elsa Elina","Elsa Enäjärvi, Elsa Haavio; v:een 1922 Eklund",66,66,50,1938,0,Elsa Elina Enäjärvi-Haavio,14.10.1901
"Erasti, Aarne","ks. Erävaara, Aarne.",66,66,1,20,1,Aarne Erasti,
"Erho, Kaarlo Arvid",Kalle Rae; v:een 1929 Eriksson,66,67,86,3506,0,Kaarlo Arvid Erho,15.3.1905
"Ericsson, Christoffer Henry",,67,67,39,1547,0,Christoffer Henry Ericsson,5.3.1920
"Eriksson, Helvi","ks. Erjakka, Helvi",67,67,1,18,1,Helvi Eriksson,
"Erjakka, Helvi","Aira Kaipia, Meirami, Paula Purje,; Harriet Vane; Helvi Marjatta Erjakka-Rania,; v:een 1934 Eriksson",67,69,254,9857,0,Helvi Erjakka,30.11.1909
"Erkkilä, Eva",Otto Holmström,69,69,3,120,0,Eva Erkkilä,
"Eronen, Simo",,69,70,55,2097,0,Simo Eronen,6.12.1881
"Eräs, Antti",Leo Johannes Pesonen,70,70,58,2166,0,Antti Eräs,24.6.1892
"Erävaara, Aarne","AJ. Engelberg; Aarne Erasti,; v:een 1959 Aarre Jalo Engelberg",70,71,34,1305,0,Aarne Erävaara,24.1.1913
"Eskola, Uuno",v:een 1906 Eskolin,71,71,13,508,0,Uuno Eskola,16.8.1889
"Euren, Kerttu","ks. Huurre, Kirsti",71,71,1,18,1,Kerttu Euren,
"Everett, Flynn","ks. Dahlberg, Erik",71,71,1,18,1,Flynn Everett,
"Evä, Aaro","ks. Matson, Alex",71,71,1,16,1,Aaro Evä,
"Fabritius, J. Chr.",Johan Christian Sergej Fabritius,71,71,31,1212,0,J. Chr. Fabritius,29.5.1890
"Falander, Axel","ks. Tigerstedt, Örnulf",71,71,1,22,1,Axel Falander,
Farbror Oskar,Oskar von Schoultz,71,72,19,791,0,Farbror Oskar,25.10.1872
"Federley, Alex",Alexander Thiodolf Federley,72,72,16,661,0,Alex Federley,12.7.1864
"Fieandt, Einar",,72,72,20,851,0,Einar Fieandt,29.7.1879
"Finell, Ole Herman",Poggio Bracciano,72,72,41,1582,0,Ole Herman Finell,27.7.1895
Firinä,"ks. Tiittanen, Irene",72,72,1,20,1,Firinä,
"Flinck, Edwin","ks. Linkomies, Edwin",72,72,1,20,1,Edwin Flinck,
"Flinck-Linkomies, Edwin","ks. Linkomies, Edwin",72,72,1,20,1,Edwin Flinck-Linkomies,
"Fogelberg, Ola",,72,73,14,549,0,Ola Fogelberg,20.7.1894
"Fogelholm, Hellin","ks. Porras, Kirsti",73,73,1,18,1,Hellin Fogelholm,
"Forsblom, Rut","ks. Forsblom-Sandman, Rut",73,73,1,25,1,Rut Forsblom,
"Forsblom-Sandman, Rut",Rut Magdalena Forsblom,73,73,48,1864,0,Rut Forsblom-Sandman,6.9.1912
"Forsdahl, Reinhold",aik. Andersson,73,73,8,322,0,Reinhold Forsdahl,3.2.1895
"Forsman, Hildur Nadine",,73,73,5,223,0,Hildur Nadine Forsman,4.5.1894
"Forsman, Rafael","ks. Koskimies, Rafael",73,73,1,21,1,Rafael Forsman,
"Forssel, Karl-Erik",,73,74,52,2166,0,Karl-Erik Forssel,27.11.1905
"Forss-Nordström, Lilli Anna Elisabeth",,74,74,47,1912,0,Lilli Anna Elisabeth Forss-Nordström,3.4.1893
"Forsström, Linda",,74,74,6,247,0,Linda Forsström,25.12.1867
"Forsström, Ulla","ks. Späre, Ulla",74,74,1,15,1,Ulla Forsström,
"Forstén,","ks. Ehrnrooth, Kerstin Ulrika",74,74,1,29,1, Forstén,
"Franssila, Juho",aik. Johan Pakarinen,74,75,10,381,0,Juho Franssila,19.2.1867
"Fredberg-Rauhavaara, Matilda",,75,75,1,47,0,Matilda Fredberg-Rauhavaara,
"Fredriksson, Axel","ks. Tigerstedt, Örnulf",75,75,1,22,1,Axel Fredriksson,
"Frenckell, Ester-Margaret von",,75,75,31,1262,0,Ester-Margaret von Frenckell,12.6.1890
"Frenckell-Thesleff, Greta von",Margareta Louisa Thesleff,75,75,18,682,0,Greta von Frenckell-Thesleff,2.7.1881
"Frisk, Karl Erik Vilhelm",,75,75,5,189,0,Karl Erik Vilhelm Frisk,29.7.1893
"Frost, Ali","ks. Bjerne, Ulla",75,75,1,16,1,Ali Frost,
"Furuhjelm, Annie Fredrika",,75,75,12,492,0,Annie Fredrika Furuhjelm,11.12.1859
"Furuhjelm, Elis Ragnar",,75,76,32,1445,0,Elis Ragnar Furuhjelm,12.10.1879
Författarinnan Fröjdman,Ragni Cawen,76,76,8,300,0,Författarinnan Fröjdman,3.6.1891
G.B.,Gustaf Borg,76,76,4,149,0,G.B.,
"Gadolin, Nils Sigurd",,76,76,9,372,0,Nils Sigurd Gadolin,29.8.1892
"Gallen-Kallela, Akseli Waldemar",v:een 1902 Gallen,76,76,18,647,0,Akseli Waldemar Gallen-Kallela,26.5.1865
Game & Tuus,"ks. Märtenson, Gunnar",76,76,1,21,1,Game & Tuus,
"Gebhard, Maiju",,76,77,24,938,0,Maiju Gebhard,15.9.1896
"Ginman, Lennart",,77,77,14,605,0,Lennart Ginman,4.4.1885
Gnaggabölon,"ks. Burman, Wilhelm",77,77,1,19,1,Gnaggabölon,
"Grahn, Gunvor",Gunvor Grahn-Ekroos; Gunvor Margareta Ekroos,77,77,14,568,0,Gunvor Grahn,9.8.1907
"Granholm, Elin",Elin Edit Granholm-Hedenheim,77,77,5,182,0,Elin Granholm,12.2.1902
"Granholm, Torsten L.","ks. Lindgärd, Torsten",77,77,1,21,1,Torsten L. Granholm,
"Granlund, Giri",Ingrid Hjördis Granlund,77,77,14,513,0,Giri Granlund,18.11.1894
"Granlund, Ingrid","ks. Granlund, Giri",77,78,2,46,1,Ingrid Granlund,
"Granvik, Anton Joel",,78,78,15,612,0,Anton Joel Granvik,2.11.1892
"Grashorn, Elsa Mathilda",,78,78,15,575,0,Elsa Mathilda Grashorn,2.5.1888
"Grotenfelt, Thyra","Grotenfelt-Kotkatlahti, Thyra; Thyra Kotkatlahti",78,78,18,711,0,Thyra Grotenfelt,15.5.1912
"Grönberg, Arne Julius",,78,78,12,493,0,Arne Julius Grönberg,16.10.1889
"Grönberg, Santeri",Aleksanteri Grönberg,78,78,11,377,0,Santeri Grönberg,9.11.1863
"Grönbärj, Herman Victor",,78,78,9,392,0,Herman Victor Grönbärj,6.2.1875
"Grönroos, Toivo",,78,79,4,116,0,Toivo Grönroos,
"Grönroos, Uljas Esikko","ks. Koitere, Esikko",79,79,1,19,1,Uljas Esikko Grönroos,
"Grönstrand, Ruth Ingunn",Mona Hellmers,79,79,21,803,0,Ruth Ingunn Grönstrand,30.1.1911
"Grönvik, Ann-Mari","Ellen Allmark, Eric Moreton,; Ann-Mari Nordman",79,79,66,2573,0,Ann-Mari Grönvik,26.3.1896
"Guenard, C.","ks. Kurko, Kaarlo",79,79,1,17,1,C. Guenard,
"Gummerus, E.R.",Edvard Robert Gregorius Gummerus,79,81,166,6770,0,E.R. Gummerus,5.10.1905
"Gummerus, San",Alexandrine Gummerus,81,81,10,382,0,San Gummerus,29.5.1879
"Gummerus, Teppa",,81,81,2,60,0,Teppa Gummerus,
Gunthar,"ks. Clement, Gunnar",81,81,1,19,1,Gunthar,
"Gustafson, Brita","Brita Ysabel Gustafson, Brita Knyphausen; Brita Ysabel zu Knyphausen und zu Inn-; hausen",81,81,34,1327,0,Brita Gustafson,14.11.1914
